"categoria","file","riga","testo"
"articolo-elidato","chapters/appendix/a42_cmdstanr_intro.qmd",28,"Prima di procedere, è necessario installare CmdStan seguendo le istruzioni riportate nell'@sec-apx-install-cmd"
"articolo-elidato","chapters/appendix/a43_stan_lang.qmd",29,"In questo libro utilizziamo `cmdstanr`, che offre il miglior equilibrio tra controllo e semplicità. Per l'inst"
"callout-note","chapters/appendix/a44_stan_diagnostics.qmd",13,"::: {.callout-note title=""Riepilogo delle soglie diagnostiche""}"
"callout-note","chapters/appendix/a44_stan_diagnostics.qmd",519,"::: {.callout-note title=""Checklist diagnostica""}"
"callout-note","chapters/appendix/a44_stan_diagnostics.qmd",545,"::: {.callout-note collapse=""true"" title=""Informazioni sull'ambiente di sviluppo""}"
"callout-tip","chapters/appendix/a44_stan_diagnostics.qmd",227,"::: {.callout-tip title=""Soglia pratica""}"
"callout-tip","chapters/appendix/a44_stan_diagnostics.qmd",363,"::: {.callout-tip title=""Criterio pratico""}"
"callout-warning","chapters/appendix/a44_stan_diagnostics.qmd",399,"::: {.callout-warning title=""Importante""}"
"callout-caution","chapters/appendix/a44_stan_diagnostics.qmd",23,"::: {.callout-caution collapse=""true"" title=""Preparazione del notebook""}"
"sessionInfo","chapters/appendix/a44_stan_diagnostics.qmd",548,"sessionInfo()"
"callout-note","chapters/appendix/a45_stan_prior-predictive.qmd",536,"::: {.callout-note title=""Workflow per i prior predictive checks""}"
"callout-note","chapters/appendix/a45_stan_prior-predictive.qmd",565,"::: {.callout-note collapse=""true"" title=""Informazioni sull'ambiente di sviluppo""}"
"callout-tip","chapters/appendix/a45_stan_prior-predictive.qmd",5,"::: {.callout-tip title=""Domanda chiave""}"
"callout-warning","chapters/appendix/a45_stan_prior-predictive.qmd",424,"::: {.callout-warning title=""Attenzione""}"
"callout-caution","chapters/appendix/a45_stan_prior-predictive.qmd",15,"::: {.callout-caution collapse=""true"" title=""Preparazione del notebook""}"
"titolo-numerato-a-mano","chapters/appendix/a45_stan_prior-predictive.qmd",500,"### 1. Lavorare sulla scala appropriata"
"titolo-numerato-a-mano","chapters/appendix/a45_stan_prior-predictive.qmd",505,"### 2. *Prior* per i coefficienti ($\beta$)"
"titolo-numerato-a-mano","chapters/appendix/a45_stan_prior-predictive.qmd",513,"### 3. *Prior* per l'intercetta ($\alpha$)"
"titolo-numerato-a-mano","chapters/appendix/a45_stan_prior-predictive.qmd",518,"### 4. *Prior* per la dispersione ($\sigma$)"
"titolo-numerato-a-mano","chapters/appendix/a45_stan_prior-predictive.qmd",523,"### 5. Scale non lineari (logit, log)"
"titolo-numerato-a-mano","chapters/appendix/a45_stan_prior-predictive.qmd",528,"### 6. Documentare il processo"
"sessionInfo","chapters/appendix/a45_stan_prior-predictive.qmd",568,"sessionInfo()"
"callout-note","chapters/appendix/a46_stan_posterior_predictive.qmd",94,"::: {.callout-note title=""Il parametro prior_only""}"
"callout-note","chapters/appendix/a46_stan_posterior_predictive.qmd",362,"::: {.callout-note title=""Workflow per i PPC""}"
"callout-note","chapters/appendix/a46_stan_posterior_predictive.qmd",381,"::: {.callout-note collapse=""true"" title=""Informazioni sull'ambiente di sviluppo""}"
"callout-tip","chapters/appendix/a46_stan_posterior_predictive.qmd",9,"::: {.callout-tip title=""Domanda chiave""}"
"callout-caution","chapters/appendix/a46_stan_posterior_predictive.qmd",13,"::: {.callout-caution collapse=""true"" title=""Preparazione del notebook""}"
"titolo-numerato-a-mano","chapters/appendix/a46_stan_posterior_predictive.qmd",264,"### 1. Distribuzioni a priori inadeguate"
"titolo-numerato-a-mano","chapters/appendix/a46_stan_posterior_predictive.qmd",270,"### 2. Specificazione impropria della verosimiglianza"
"titolo-numerato-a-mano","chapters/appendix/a46_stan_posterior_predictive.qmd",280,"### 3. Struttura del modello incompleta"
"titolo-numerato-a-mano","chapters/appendix/a46_stan_posterior_predictive.qmd",290,"### 4. Parametri di dispersione fissati in modo errato"
"sessionInfo","chapters/appendix/a46_stan_posterior_predictive.qmd",384,"sessionInfo()"
"callout-note","chapters/appendix/a51_matrix_algebra.qmd",3,"::: {.callout-note appearance=""minimal""}"
"callout-note","chapters/appendix/a52_reglin_frequentist.qmd",3,"::: {.callout-note appearance=""minimal""}"
"callout-note","chapters/appendix/a52_reglin_frequentist.qmd",164,"::: {.callout-note title=""Nota sui Dati"" collapse=""true""}"
"callout-note","chapters/appendix/a52_reglin_frequentist.qmd",329,"::: {.callout-note collapse=true title=""Esempio in R""}"
"callout-note","chapters/appendix/a52_reglin_frequentist.qmd",508,"::: {.callout-note collapse=true title=""Esempio in R""}"
"callout-note","chapters/appendix/a52_reglin_frequentist.qmd",570,"::: {.callout-note collapse=true title=""Esempio in R""}"
"callout-note","chapters/appendix/a52_reglin_frequentist.qmd",631,"::: {.callout-note collapse=true title=""Esempio in R""}"
"callout-note","chapters/appendix/a52_reglin_frequentist.qmd",760,"::: {.callout-note collapse=true title=""Esempio in R""}"
"callout-note","chapters/appendix/a52_reglin_frequentist.qmd",850,"::: {.callout-note collapse=true title=""Informazioni sull'ambiente di sviluppo""}"
"callout-tip","chapters/appendix/a52_reglin_frequentist.qmd",23,"::: {.callout-tip collapse=true}"
"callout-caution","chapters/appendix/a52_reglin_frequentist.qmd",32,"::: {.callout-caution collapse=true title=""Preparazione del notebook""}"
"articolo-elidato","chapters/appendix/a52_reglin_frequentist.qmd",48,"[^funlin]: Per un ripasso sulla *funzione* lineare, si veda l'@sec-apx-lin-func."
"sessionInfo","chapters/appendix/a52_reglin_frequentist.qmd",852,"sessionInfo()"
"articolo-elidato","chapters/appendix/a53_regression_likelihood.qmd",3,"Questa appendice illustra, passo dopo passo, come si ottiene l'@eq-log-likelihood-simple-regression a partire "
"callout-note","chapters/appendix/a54_errore_misurazione_varianza_metodo.qmd",138,"::: {.callout-note collapse=true title=""Programma Stan per il modello con errore di misurazione""}"
"callout-note","chapters/appendix/a54_errore_misurazione_varianza_metodo.qmd",393,"::: {.callout-note collapse=true title=""Programma Stan per il modello tratto–metodo""}"
"callout-note","chapters/appendix/a54_errore_misurazione_varianza_metodo.qmd",615,"::: {.callout-note collapse=true title=""Informazioni sull'ambiente di sviluppo""}"
"callout-tip","chapters/appendix/a54_errore_misurazione_varianza_metodo.qmd",7,"::: {.callout-tip collapse=true title=""Prerequisiti""}"
"callout-caution","chapters/appendix/a54_errore_misurazione_varianza_metodo.qmd",11,"::: {.callout-caution collapse=true title=""Preparazione del notebook""}"
"titolo-numerato-a-mano","chapters/appendix/a54_errore_misurazione_varianza_metodo.qmd",587,"### 1. Intensità dell'attenuazione"
"titolo-numerato-a-mano","chapters/appendix/a54_errore_misurazione_varianza_metodo.qmd",591,"### 2. Incertezza sull'errore assunto"
"titolo-numerato-a-mano","chapters/appendix/a54_errore_misurazione_varianza_metodo.qmd",595,"### 3. Errore nell'outcome"
"titolo-numerato-a-mano","chapters/appendix/a54_errore_misurazione_varianza_metodo.qmd",599,"### 4. Metodo condiviso"
"titolo-numerato-a-mano","chapters/appendix/a54_errore_misurazione_varianza_metodo.qmd",603,"### 5. Identificazione"
"sessionInfo","chapters/appendix/a54_errore_misurazione_varianza_metodo.qmd",618,"sessionInfo()"
"callout-note","chapters/appendix/a60_bayesian_workflow_checklist.qmd",3,"::: {.callout-note}"
"callout-note","chapters/appendix/a60_bayesian_workflow_checklist.qmd",235,"::: {.callout-note}"
"callout-tip","chapters/appendix/a60_bayesian_workflow_checklist.qmd",51,"::: {.callout-tip}"
"callout-tip","chapters/appendix/a60_bayesian_workflow_checklist.qmd",136,"::: {.callout-tip}"
"callout-important","chapters/appendix/a60_bayesian_workflow_checklist.qmd",305,"::: {.callout-important}"
"callout-warning","chapters/appendix/a60_bayesian_workflow_checklist.qmd",94,"::: {.callout-warning}"
"callout-warning","chapters/appendix/a60_bayesian_workflow_checklist.qmd",195,"::: {.callout-warning}"
"titolo-numerato-a-mano","chapters/appendix/a60_bayesian_workflow_checklist.qmd",38,"## 1. Chiarire la domanda scientifica"
"titolo-numerato-a-mano","chapters/appendix/a60_bayesian_workflow_checklist.qmd",57,"## 2. Capire dati, disegno e misure"
"titolo-numerato-a-mano","chapters/appendix/a60_bayesian_workflow_checklist.qmd",79,"## 3. Specificare il modello generativo"
"titolo-numerato-a-mano","chapters/appendix/a60_bayesian_workflow_checklist.qmd",100,"## 4. Scegliere prior motivate"
"titolo-numerato-a-mano","chapters/appendix/a60_bayesian_workflow_checklist.qmd",122,"## 5. Eseguire il prior predictive check"
"titolo-numerato-a-mano","chapters/appendix/a60_bayesian_workflow_checklist.qmd",142,"## 6. Stimare il modello"
"titolo-numerato-a-mano","chapters/appendix/a60_bayesian_workflow_checklist.qmd",161,"## 7. Riassumere la posterior"
"titolo-numerato-a-mano","chapters/appendix/a60_bayesian_workflow_checklist.qmd",181,"## 8. Eseguire il posterior predictive check"
"titolo-numerato-a-mano","chapters/appendix/a60_bayesian_workflow_checklist.qmd",201,"## 9. Valutare sensibilità e robustezza"
"titolo-numerato-a-mano","chapters/appendix/a60_bayesian_workflow_checklist.qmd",221,"## 10. Confrontare modelli, quando serve"
"titolo-numerato-a-mano","chapters/appendix/a60_bayesian_workflow_checklist.qmd",241,"## 11. Documentare le iterazioni"
"titolo-numerato-a-mano","chapters/appendix/a60_bayesian_workflow_checklist.qmd",263,"## 12. Comunicare i risultati"
"titolo-numerato-a-mano","chapters/appendix/a60_bayesian_workflow_checklist.qmd",290,"## 13. Riproducibilità e integrità"
"titolo-numerato-a-mano","chapters/appendix/a60_bayesian_workflow_checklist.qmd",311,"## 14. Checklist compatta per il report finale"
"callout-note","chapters/applicazione/_intro_sec_applications.qmd",3,"::: {.callout-note appearance=""minimal""}"
"callout-tip","chapters/applicazione/_intro_sec_applications.qmd",57,"::: {.callout-tip title=""Percorsi possibili""}"
"callout-note","chapters/applicazione/01_dalla_descrizione_alla_spiegazione.qmd",3,"::: {.callout-note appearance=""minimal""}"
"callout-note","chapters/applicazione/01_dalla_descrizione_alla_spiegazione.qmd",86,"::: {.callout-note title=""Anatomia minima di un modello del processo""}"
"callout-note","chapters/applicazione/01_dalla_descrizione_alla_spiegazione.qmd",255,"::: {.callout-note title=""La logica della Parte""}"
"callout-note","chapters/applicazione/01_dalla_descrizione_alla_spiegazione.qmd",304,"::: {.callout-note collapse=true title=""Soluzione commentata""}"
"callout-note","chapters/applicazione/01_dalla_descrizione_alla_spiegazione.qmd",329,"::: {.callout-note collapse=true title=""Soluzione commentata""}"
"callout-note","chapters/applicazione/01_dalla_descrizione_alla_spiegazione.qmd",349,"::: {.callout-note collapse=true title=""Soluzione commentata""}"
"callout-note","chapters/applicazione/01_dalla_descrizione_alla_spiegazione.qmd",367,"::: {.callout-note collapse=true title=""Soluzione commentata""}"
"callout-tip","chapters/applicazione/01_dalla_descrizione_alla_spiegazione.qmd",19,"::: {.callout-tip collapse=true title=""Prerequisiti""}"
"callout-tip","chapters/applicazione/01_dalla_descrizione_alla_spiegazione.qmd",300,"::: {.callout-tip collapse=true title=""Suggerimento""}"
"callout-tip","chapters/applicazione/01_dalla_descrizione_alla_spiegazione.qmd",325,"::: {.callout-tip collapse=true title=""Suggerimento""}"
"callout-tip","chapters/applicazione/01_dalla_descrizione_alla_spiegazione.qmd",345,"::: {.callout-tip collapse=true title=""Suggerimento""}"
"callout-tip","chapters/applicazione/01_dalla_descrizione_alla_spiegazione.qmd",363,"::: {.callout-tip collapse=true title=""Suggerimento""}"
"callout-important","chapters/applicazione/01_dalla_descrizione_alla_spiegazione.qmd",9,"::: {.callout-important appearance=""minimal"" .chapter-status}"
"callout-important","chapters/applicazione/01_dalla_descrizione_alla_spiegazione.qmd",37,"::: {.callout-important title=""Il messaggio della Parte""}"
"callout-important","chapters/applicazione/01_dalla_descrizione_alla_spiegazione.qmd",179,"::: {.callout-important title=""Una lezione sul disegno""}"
"callout-warning","chapters/applicazione/01_dalla_descrizione_alla_spiegazione.qmd",155,"::: {.callout-warning title=""Il nome del parametro non è evidenza""}"
"callout-caution","chapters/applicazione/01_dalla_descrizione_alla_spiegazione.qmd",220,"::: {.callout-caution title=""Precisione condizionata""}"
"callout-caution","chapters/applicazione/01_dalla_descrizione_alla_spiegazione.qmd",266,"::: {.callout-caution}"
"titolo-numerato-a-mano","chapters/applicazione/01_dalla_descrizione_alla_spiegazione.qmd",291,"### 1. Comprendere: quattro domande diverse {.unnumbered .unlisted}"
"titolo-numerato-a-mano","chapters/applicazione/01_dalla_descrizione_alla_spiegazione.qmd",313,"### 2. Prevedere: modelli osservazionalmente simili {.unnumbered .unlisted}"
"titolo-numerato-a-mano","chapters/applicazione/01_dalla_descrizione_alla_spiegazione.qmd",333,"### 3. Progettare: rendere eseguibile una spiegazione {.unnumbered .unlisted}"
"titolo-numerato-a-mano","chapters/applicazione/01_dalla_descrizione_alla_spiegazione.qmd",355,"### 4. Criticare e comunicare: che cosa dimostra un buon modello? {.unnumbered .unlisted}"
"callout-note","chapters/applicazione/02_costruire_modello_dinamico.qmd",3,"::: {.callout-note appearance=""minimal""}"
"callout-note","chapters/applicazione/02_costruire_modello_dinamico.qmd",117,"::: {.callout-note collapse=true title=""Approfondimento computazionale: il simulatore e i tre scenari""}"
"callout-note","chapters/applicazione/02_costruire_modello_dinamico.qmd",218,"::: {.callout-note title=""Simulare significa dedurre conseguenze""}"
"callout-note","chapters/applicazione/02_costruire_modello_dinamico.qmd",288,"::: {.callout-note collapse=true title=""Approfondimento computazionale: caricamento e controllo dei dati""}"
"callout-note","chapters/applicazione/02_costruire_modello_dinamico.qmd",370,"::: {.callout-note collapse=true title=""Approfondimento computazionale: campionamento dai prior""}"
"callout-note","chapters/applicazione/02_costruire_modello_dinamico.qmd",421,"::: {.callout-note collapse=true title=""Approfondimento computazionale: tradurre la ricorsione in Stan""}"
"callout-note","chapters/applicazione/02_costruire_modello_dinamico.qmd",541,"::: {.callout-note collapse=true title=""Approfondimento computazionale: estrarre le traiettorie posteriori""}"
"callout-note","chapters/applicazione/02_costruire_modello_dinamico.qmd",679,"::: {.callout-note collapse=true title=""Soluzione commentata""}"
"callout-note","chapters/applicazione/02_costruire_modello_dinamico.qmd",699,"::: {.callout-note collapse=true title=""Soluzione commentata""}"
"callout-note","chapters/applicazione/02_costruire_modello_dinamico.qmd",715,"::: {.callout-note collapse=true title=""Soluzione commentata""}"
"callout-note","chapters/applicazione/02_costruire_modello_dinamico.qmd",731,"::: {.callout-note collapse=true title=""Soluzione commentata""}"
"callout-note","chapters/applicazione/02_costruire_modello_dinamico.qmd",737,"::: {.callout-note collapse=true title=""Informazioni sull'ambiente di sviluppo""}"
"callout-tip","chapters/applicazione/02_costruire_modello_dinamico.qmd",19,"::: {.callout-tip collapse=true title=""Prerequisiti""}"
"callout-tip","chapters/applicazione/02_costruire_modello_dinamico.qmd",583,"::: {.callout-tip collapse=true title=""Approfondimento computazionale: recuperare parametri noti""}"
"callout-tip","chapters/applicazione/02_costruire_modello_dinamico.qmd",675,"::: {.callout-tip collapse=true title=""Suggerimento""}"
"callout-tip","chapters/applicazione/02_costruire_modello_dinamico.qmd",695,"::: {.callout-tip collapse=true title=""Suggerimento""}"
"callout-tip","chapters/applicazione/02_costruire_modello_dinamico.qmd",711,"::: {.callout-tip collapse=true title=""Suggerimento""}"
"callout-tip","chapters/applicazione/02_costruire_modello_dinamico.qmd",727,"::: {.callout-tip collapse=true title=""Suggerimento""}"
"callout-important","chapters/applicazione/02_costruire_modello_dinamico.qmd",9,"::: {.callout-important appearance=""minimal"" .chapter-status}"
"callout-important","chapters/applicazione/02_costruire_modello_dinamico.qmd",89,"::: {.callout-important title=""Un'equazione è una scelta teorica""}"
"callout-important","chapters/applicazione/02_costruire_modello_dinamico.qmd",255,"::: {.callout-important title=""Processo, stato e misura""}"
"callout-important","chapters/applicazione/02_costruire_modello_dinamico.qmd",649,"::: {.callout-important title=""Dal modello semplice al test della teoria""}"
"callout-warning","chapters/applicazione/02_costruire_modello_dinamico.qmd",577,"::: {.callout-warning title=""Un buon adattamento aggregato può nascondere un fallimento processuale""}"
"callout-caution","chapters/applicazione/02_costruire_modello_dinamico.qmd",26,"::: {.callout-caution collapse=true title=""Preparazione del notebook""}"
"titolo-numerato-a-mano","chapters/applicazione/02_costruire_modello_dinamico.qmd",665,"### 1. Comprendere: anatomia della teoria {.unnumbered .unlisted}"
"titolo-numerato-a-mano","chapters/applicazione/02_costruire_modello_dinamico.qmd",685,"### 2. Prevedere: leggere i parametri attraverso le conseguenze {.unnumbered .unlisted}"
"titolo-numerato-a-mano","chapters/applicazione/02_costruire_modello_dinamico.qmd",703,"### 3. Progettare: distinguere due processi {.unnumbered .unlisted}"
"titolo-numerato-a-mano","chapters/applicazione/02_costruire_modello_dinamico.qmd",719,"### 4. Criticare e comunicare {.unnumbered .unlisted}"
"sessionInfo","chapters/applicazione/02_costruire_modello_dinamico.qmd",739,"sessionInfo()"
"callout-note","chapters/applicazione/03_rescorla_wagner.qmd",3,"::: {.callout-note appearance=""minimal""}"
"callout-note","chapters/applicazione/03_rescorla_wagner.qmd",146,"::: {.callout-note title=""Una regola semplice contiene assunzioni forti""}"
"callout-note","chapters/applicazione/03_rescorla_wagner.qmd",231,"::: {.callout-note collapse=true title=""Implementazione guidata: simulatore del compito""}"
"callout-note","chapters/applicazione/03_rescorla_wagner.qmd",318,"::: {.callout-note collapse=true title=""Codice della simulazione per quattro scenari""}"
"callout-note","chapters/applicazione/03_rescorla_wagner.qmd",389,"::: {.callout-note collapse=true title=""Codice della traiettoria di riferimento""}"
"callout-note","chapters/applicazione/03_rescorla_wagner.qmd",479,"::: {.callout-note collapse=true title=""Approfondimento computazionale: controllo predittivo a priori""}"
"callout-note","chapters/applicazione/03_rescorla_wagner.qmd",611,"::: {.callout-note collapse=true title=""Approfondimento computazionale: programma Stan e campionamento""}"
"callout-note","chapters/applicazione/03_rescorla_wagner.qmd",766,"::: {.callout-note collapse=true title=""Approfondimento computazionale: diagnostica e posterior""}"
"callout-note","chapters/applicazione/03_rescorla_wagner.qmd",819,"::: {.callout-note collapse=true title=""Approfondimento computazionale: traiettorie posteriori""}"
"callout-note","chapters/applicazione/03_rescorla_wagner.qmd",913,"::: {.callout-note collapse=true title=""Approfondimento computazionale: controlli predittivi dinamici""}"
"callout-note","chapters/applicazione/03_rescorla_wagner.qmd",1058,"::: {.callout-note collapse=true title=""Approfondimento computazionale: simulazione e adattamento del modello "
"callout-note","chapters/applicazione/03_rescorla_wagner.qmd",1107,"::: {.callout-note collapse=true title=""Approfondimento computazionale: modello rivale con perseverazione""}"
"callout-note","chapters/applicazione/03_rescorla_wagner.qmd",1326,"::: {.callout-note collapse=true title=""Approfondimento computazionale: posterior del modello esteso""}"
"callout-note","chapters/applicazione/03_rescorla_wagner.qmd",1363,"::: {.callout-note collapse=true title=""Approfondimento facoltativo: Rescorla–Wagner è un modello bayesiano?""}"
"callout-note","chapters/applicazione/03_rescorla_wagner.qmd",1399,"::: {.callout-note collapse=true title=""Soluzione commentata""}"
"callout-note","chapters/applicazione/03_rescorla_wagner.qmd",1413,"::: {.callout-note collapse=true title=""Soluzione commentata""}"
"callout-note","chapters/applicazione/03_rescorla_wagner.qmd",1430,"::: {.callout-note collapse=true title=""Soluzione commentata""}"
"callout-note","chapters/applicazione/03_rescorla_wagner.qmd",1446,"::: {.callout-note collapse=true title=""Soluzione commentata""}"
"callout-note","chapters/applicazione/03_rescorla_wagner.qmd",1450,"::: {.callout-note collapse=true title=""Informazioni sull'ambiente di sviluppo""}"
"callout-tip","chapters/applicazione/03_rescorla_wagner.qmd",29,"::: {.callout-tip collapse=true title=""Prerequisiti""}"
"callout-tip","chapters/applicazione/03_rescorla_wagner.qmd",1395,"::: {.callout-tip collapse=true title=""Suggerimento""}"
"callout-tip","chapters/applicazione/03_rescorla_wagner.qmd",1409,"::: {.callout-tip collapse=true title=""Suggerimento""}"
"callout-tip","chapters/applicazione/03_rescorla_wagner.qmd",1426,"::: {.callout-tip collapse=true title=""Suggerimento""}"
"callout-tip","chapters/applicazione/03_rescorla_wagner.qmd",1442,"::: {.callout-tip collapse=true title=""Suggerimento""}"
"callout-important","chapters/applicazione/03_rescorla_wagner.qmd",19,"::: {.callout-important appearance=""minimal"" .chapter-status}"
"callout-important","chapters/applicazione/03_rescorla_wagner.qmd",211,"::: {.callout-important title=""Apprendimento e scelta sono processi distinti""}"
"callout-important","chapters/applicazione/03_rescorla_wagner.qmd",1345,"::: {.callout-important title=""Il valore di un modello rivale""}"
"callout-warning","chapters/applicazione/03_rescorla_wagner.qmd",455,"::: {.callout-warning title=""Fit e identificazione parametrica non coincidono""}"
"callout-warning","chapters/applicazione/03_rescorla_wagner.qmd",1353,"::: {.callout-warning title=""La validazione deve rispettare il tempo""}"
"callout-caution","chapters/applicazione/03_rescorla_wagner.qmd",35,"::: {.callout-caution collapse=true title=""Preparazione del notebook""}"
"titolo-numerato-a-mano","chapters/applicazione/03_rescorla_wagner.qmd",1389,"### 1. Comprendere: apprendimento o scelta? {.unnumbered .unlisted}"
"titolo-numerato-a-mano","chapters/applicazione/03_rescorla_wagner.qmd",1403,"### 2. Prevedere: che cosa assorbe un processo omesso? {.unnumbered .unlisted}"
"titolo-numerato-a-mano","chapters/applicazione/03_rescorla_wagner.qmd",1417,"### 3. Progettare: distinguere due modelli rivali {.unnumbered .unlisted}"
"titolo-numerato-a-mano","chapters/applicazione/03_rescorla_wagner.qmd",1434,"### 4. Criticare e comunicare: dal parametro al deficit {.unnumbered .unlisted}"
"sessionInfo","chapters/applicazione/03_rescorla_wagner.qmd",1453,"sessionInfo()"
"callout-note","chapters/applicazione/04_eterogeneita_modelli_dinamici.qmd",3,"::: {.callout-note appearance=""minimal""}"
"callout-note","chapters/applicazione/04_eterogeneita_modelli_dinamici.qmd",124,"::: {.callout-note title=""Shrinkage non significa normalizzare le persone""}"
"callout-note","chapters/applicazione/04_eterogeneita_modelli_dinamici.qmd",176,"::: {.callout-note collapse=true title=""Approfondimento applicativo: stime no pooling""}"
"callout-note","chapters/applicazione/04_eterogeneita_modelli_dinamici.qmd",278,"::: {.callout-note collapse=true title=""Approfondimento applicativo: controllo predittivo a priori""}"
"callout-note","chapters/applicazione/04_eterogeneita_modelli_dinamici.qmd",369,"::: {.callout-note collapse=true title=""Approfondimento computazionale: modello gerarchico in Stan""}"
"callout-note","chapters/applicazione/04_eterogeneita_modelli_dinamici.qmd",515,"::: {.callout-note collapse=true title=""Approfondimento applicativo: posterior individuali e shrinkage""}"
"callout-note","chapters/applicazione/04_eterogeneita_modelli_dinamici.qmd",646,"::: {.callout-note collapse=true title=""Approfondimento applicativo: simulare una persona nuova""}"
"callout-note","chapters/applicazione/04_eterogeneita_modelli_dinamici.qmd",824,"::: {.callout-note collapse=true title=""Soluzione commentata""}"
"callout-note","chapters/applicazione/04_eterogeneita_modelli_dinamici.qmd",844,"::: {.callout-note collapse=true title=""Soluzione commentata""}"
"callout-note","chapters/applicazione/04_eterogeneita_modelli_dinamici.qmd",864,"::: {.callout-note collapse=true title=""Soluzione commentata""}"
"callout-note","chapters/applicazione/04_eterogeneita_modelli_dinamici.qmd",882,"::: {.callout-note collapse=true title=""Soluzione commentata""}"
"callout-note","chapters/applicazione/04_eterogeneita_modelli_dinamici.qmd",890,"::: {.callout-note collapse=true title=""Informazioni sull'ambiente di sviluppo""}"
"callout-tip","chapters/applicazione/04_eterogeneita_modelli_dinamici.qmd",19,"::: {.callout-tip collapse=true title=""Prerequisiti""}"
"callout-tip","chapters/applicazione/04_eterogeneita_modelli_dinamici.qmd",820,"::: {.callout-tip collapse=true title=""Suggerimento""}"
"callout-tip","chapters/applicazione/04_eterogeneita_modelli_dinamici.qmd",840,"::: {.callout-tip collapse=true title=""Suggerimento""}"
"callout-tip","chapters/applicazione/04_eterogeneita_modelli_dinamici.qmd",860,"::: {.callout-tip collapse=true title=""Suggerimento""}"
"callout-tip","chapters/applicazione/04_eterogeneita_modelli_dinamici.qmd",878,"::: {.callout-tip collapse=true title=""Suggerimento""}"
"callout-important","chapters/applicazione/04_eterogeneita_modelli_dinamici.qmd",9,"::: {.callout-important appearance=""minimal"" .chapter-status}"
"callout-important","chapters/applicazione/04_eterogeneita_modelli_dinamici.qmd",58,"::: {.callout-important title=""Una media non è un individuo""}"
"callout-important","chapters/applicazione/04_eterogeneita_modelli_dinamici.qmd",99,"::: {.callout-important title=""Non leggere l'eterogeneità dai soli punti individuali""}"
"callout-important","chapters/applicazione/04_eterogeneita_modelli_dinamici.qmd",761,"::: {.callout-important title=""Un parametro individuale non è ancora un tratto""}"
"callout-warning","chapters/applicazione/04_eterogeneita_modelli_dinamici.qmd",741,"::: {.callout-warning title=""Differenza tra condizioni ed effetto causale""}"
"callout-caution","chapters/applicazione/04_eterogeneita_modelli_dinamici.qmd",25,"::: {.callout-caution collapse=true title=""Preparazione del notebook""}"
"titolo-numerato-a-mano","chapters/applicazione/04_eterogeneita_modelli_dinamici.qmd",811,"### 1. Comprendere: eterogeneità o incertezza? {.unnumbered .unlisted}"
